name,x,z,base,overlay,blend
dawn_center,120.0000,390.0000,0,1,255
dawn_player_start,120.0000,405.0000,0,1,255
dawn_lagoon,88.0000,404.0000,0,1,0
dawn_north_spit,120.0000,348.0000,0,1,255
forest_center,120.0000,135.0000,2,3,177
forest_west_pool,98.0000,128.0000,2,3,26
forest_east_pool,137.0000,153.0000,2,3,85
cliffs_center,385.0000,390.0000,4,5,73
cliffs_ridge,408.0000,378.0000,4,5,91
cliffs_cave_headland,344.0000,390.0000,4,5,37
volcano_center,385.0000,130.0000,6,7,154
volcano_crater_rim,385.0000,155.0000,6,7,108
reef_south,120.0000,210.0000,0,0,0
reef_middle,120.0000,265.0000,0,0,0
reef_north,120.0000,320.0000,0,1,36
cave_entry,176.0000,390.0000,0,1,255
cave_exit,329.0000,390.0000,4,5,75
bridge_start,190.0000,135.0000,2,3,123
bridge_end,310.0000,135.0000,6,7,115
ruins_start,385.0000,315.0000,4,5,35
ruins_end,385.0000,200.0000,6,7,81
open_sea,256.0000,256.0000,0,0,0
corner_origin,0.0000,0.0000,0,0,0
corner_far,512.0000,512.0000,0,0,0
grid,0.0000,0.0000,0,0,0
grid,16.0000,0.0000,0,0,0
grid,32.0000,0.0000,0,0,0
grid,48.0000,0.0000,0,0,0
grid,64.0000,0.0000,0,0,0
grid,80.0000,0.0000,0,0,0
grid,96.0000,0.0000,0,0,0
grid,112.0000,0.0000,0,0,0
grid,128.0000,0.0000,0,0,0
grid,144.0000,0.0000,0,0,0
grid,160.0000,0.0000,0,0,0
grid,176.0000,0.0000,0,0,0
grid,192.0000,0.0000,0,0,0
grid,208.0000,0.0000,0,0,0
grid,224.0000,0.0000,0,0,0
grid,240.0000,0.0000,0,0,0
grid,256.0000,0.0000,0,0,0
grid,272.0000,0.0000,0,0,0
grid,288.0000,0.0000,0,0,0
grid,304.0000,0.0000,0,0,0
grid,320.0000,0.0000,0,0,0
grid,336.0000,0.0000,0,0,0
grid,352.0000,0.0000,0,0,0
grid,368.0000,0.0000,0,0,0
grid,384.0000,0.0000,0,0,0
grid,400.0000,0.0000,0,0,0
grid,416.0000,0.0000,0,0,0
grid,432.0000,0.0000,0,0,0
grid,448.0000,0.0000,0,0,0
grid,464.0000,0.0000,0,0,0
grid,480.0000,0.0000,0,0,0
grid,496.0000,0.0000,0,0,0
grid,512.0000,0.0000,0,0,0
grid,0.0000,16.0000,0,0,0
grid,16.0000,16.0000,0,0,0
grid,32.0000,16.0000,0,0,0
grid,48.0000,16.0000,0,0,0
grid,64.0000,16.0000,0,0,0
grid,80.0000,16.0000,0,0,0
grid,96.0000,16.0000,0,0,0
grid,112.0000,16.0000,0,0,0
grid,128.0000,16.0000,0,0,0
grid,144.0000,16.0000,0,0,0
grid,160.0000,16.0000,0,0,0
grid,176.0000,16.0000,0,0,0
grid,192.0000,16.0000,0,0,0
grid,208.0000,16.0000,0,0,0
grid,224.0000,16.0000,0,0,0
grid,240.0000,16.0000,0,0,0
grid,256.0000,16.0000,0,0,0
grid,272.0000,16.0000,0,0,0
grid,288.0000,16.0000,0,0,0
grid,304.0000,16.0000,0,0,0
grid,320.0000,16.0000,0,0,0
grid,336.0000,16.0000,0,0,0
grid,352.0000,16.0000,0,0,0
grid,368.0000,16.0000,0,0,0
grid,384.0000,16.0000,0,0,0
grid,400.0000,16.0000,0,0,0
grid,416.0000,16.0000,0,0,0
grid,432.0000,16.0000,0,0,0
grid,448.0000,16.0000,0,0,0
grid,464.0000,16.0000,0,0,0
grid,480.0000,16.0000,0,0,0
